東京,592,1,838322,20100115
千葉,304,0,947518,20111112
東京,,0,857217,20100222
東京,822,0,702344,20100928
東京,142,1,895693,20101025
東京,641,0,787220,20101010
千葉,,0,602911,20110601
千葉,431,1,101680,20100314
千葉,105,1,50496,20111212
千葉,605,0,453326,20110228
埼玉,954,0,577272,20111223
東京,93,0,83339,20101209
東京,959,1,374258,20110624
千葉,475,1,740926,20101014
埼玉,799,1,456537,20100215
千葉,,1,487501,20100506
千葉,224,1,749775,20100306
東京,642,1,628581,20110510
千葉,991,1,266011,20111201
東京,837,1,859730,20101120
千葉,85,0,967971,20110508
千葉,,1,697228,20100628
埼玉,954,0,211029,20101226
埼玉,966,1,557570,20110125
千葉,588,1,384025,20110120
東京,142,1,746483,20100403
千葉,589,1,815526,20110731
埼玉,998,0,946647,20100921
埼玉,32,1,256474,20110712
千葉,870,1,66033,20101220
埼玉,103,1,487144,20110624
千葉,,1,774855,20111227
千葉,599,1,378953,20100723
千葉,282,1,796961,20100227
埼玉,811,1,409464,20110829
埼玉,578,0,692546,20101126
千葉,,1,905444,20100324
埼玉,779,1,597116,20110603
東京,448,0,161385,20110927
千葉,362,0,624351,20100710
埼玉,198,1,541565,20110503
千葉,532,0,438161,20110904
埼玉,436,1,329616,20110421
埼玉,958,0,386720,20111029
東京,551,0,680798,20110421
千葉,114,1,644950,20101218
千葉,,0,352561,20111123
東京,241,1,665687,20110714
埼玉,661,1,764803,20101012
千葉,32,1,225762,20110120
