埼玉,319,1,891240,20100913
千葉,173,1,420216,20110420
東京,476,0,826811,20101227
東京,692,1,19301,20100404
千葉,160,1,220363,20100522
東京,874,0,762613,20110708
埼玉,88,1,441986,20100117
東京,972,0,951090,20110704
東京,521,0,277999,20110515
東京,177,0,651350,20100619
千葉,555,1,453222,20100409
東京,892,1,449405,20100402
東京,887,0,314118,20101221
千葉,336,1,805071,20111221
東京,850,0,748174,20110510
東京,286,1,462774,20100701
東京,260,0,606862,20101221
埼玉,756,0,15399,20110822
千葉,770,1,802144,20111205
東京,491,0,89243,20110813
東京,386,1,661562,20101129
東京,749,0,235999,20100516
東京,180,0,613690,20111029
東京,709,1,241846,20110510
千葉,192,1,536581,20100713
埼玉,688,1,860915,20100327
埼玉,930,0,374102,20100719
千葉,745,0,958636,20100104
埼玉,241,0,68636,20110801
埼玉,803,0,937094,20110412
埼玉,843,1,808066,20100223
埼玉,31,0,107638,20110529
千葉,592,1,627890,20100618
千葉,616,1,334311,20101008
埼玉,584,0,366661,20110810
千葉,23,0,915191,20111107
埼玉,760,0,89511,20100107
東京,440,0,804531,20101216
埼玉,51,1,978903,20100829
千葉,56,0,763763,20111106
千葉,560,1,763545,20100907
東京,27,0,203102,20110426
千葉,565,1,285055,20100109
埼玉,510,1,112097,20111217
東京,4,1,871444,20110708
千葉,554,1,614683,20100818
千葉,877,1,529944,20110622
埼玉,431,0,391908,20110315
東京,191,1,789341,20110220
埼玉,521,1,209756,20100601
